verbalcue_display_duration,target_display_duration,record_interval_duration,probe_display_duration,response_screen_duration,feedback_duration,recording_trigger,response_trigger,feedback_trigger,iti_trigger,option1_txt,option2_txt,mb_no,valid_color,invalid_color,verbal_cue_color,task_type_text,verbal_trigger,mb_type,task_repeat,target_repeat,cue_location,target_loc,non_target_loc,cue_loc_trigger,cue_orientation_invalid,cue_orientation_valid,match_nomatch,object_size,CorrAns,iti_jitter,loc_jitter,panic_allowed,memory_trigger,target_img,non_target_img,probe_display,context_c
1.25,0.5,0.9,1.6,0.9,0.3,50,51,52,53,Different,Same,1,Navy,Orange,Brown,GREEN,2,Change,1,1,right,"[2.5, 0]","[-2.5, 0]",5,180,0,No_Match,Small,left,0.416666666666667,0.866666666666667,False,11,experiment/stimuli/Small_Objects/usb/1usb6.png,experiment/stimuli/Medium_Objects/2sword8.png,experiment/stimuli/Small_Objects/usb/1usb7.png,#87ae74
1.25,0.5,0.9,1.6,0.9,0.3,50,51,52,53,Different,Same,1,Navy,Orange,Black,GREEN,2,Change,2,2,right,"[2.5, 0]","[-2.5, 0]",5,180,0,No_Match,Small,left,0.583333333333333,0.916666666666667,False,32,experiment/stimuli/Small_Objects/usb/1usb6.png,experiment/stimuli/Medium_Objects/2flag1.png,experiment/stimuli/Small_Objects/usb/1usb8.png,#87ae74
1.25,0.5,0.9,1.6,0.9,0.3,50,51,52,53,Different,Same,1,Navy,Orange,Black,GREEN,2,Change,3,3,right,"[2.5, 0]","[-2.5, 0]",5,180,0,No_Match,Small,left,0.666666666666667,1.01666666666667,False,33,experiment/stimuli/Small_Objects/usb/1usb6.png,experiment/stimuli/Medium_Objects/2toyrabbit11.png,experiment/stimuli/Small_Objects/usb/1usb10.png,#87ae74
1.25,0.5,0.9,1.6,0.9,0.3,50,51,52,53,Different,Same,1,Navy,Orange,Black,GREEN,2,Change,4,4,right,"[2.5, 0]","[-2.5, 0]",5,180,0,No_Match,Small,left,0.533333333333333,0.816666666666667,False,34,experiment/stimuli/Small_Objects/usb/1usb6.png,experiment/stimuli/Medium_Objects/2helmet9.png,experiment/stimuli/Small_Objects/usb/1usb9.png,#87ae74
1.25,0.5,0.9,1.6,0.9,0.3,50,51,52,53,Different,Same,1,Navy,Orange,Brown,RED,1,Change,1,5,left,"[-2.5, 0]","[2.5, 0]",6,0,180,No_Match,Small,left,0.616666666666667,0.983333333333334,False,25,experiment/stimuli/Small_Objects/usb/1usb6.png,experiment/stimuli/Medium_Objects/2pizza13.png,experiment/stimuli/Small_Objects/usb/1usb4.png,#a57f97
1.25,0.5,0.9,1.6,0.9,0.3,50,51,52,53,Different,Same,1,Navy,Orange,Black,RED,1,Change,2,6,right,"[2.5, 0]","[-2.5, 0]",5,180,0,No_Match,Small,left,0.616666666666667,1,False,36,experiment/stimuli/Small_Objects/usb/1usb6.png,experiment/stimuli/Medium_Objects/2cookpot12.png,experiment/stimuli/Small_Objects/usb/1usb12.png,#a57f97
1.25,0.5,0.9,1.6,0.9,0.3,50,51,52,53,Different,Same,2,Navy,Orange,Black,RED,1,Change,3,1,left,"[-2.5, 0]","[2.5, 0]",6,0,180,Match,Small,right,0.45,1.08333333333333,False,41,experiment/stimuli/Small_Objects/necklace/1necklace6.png,experiment/stimuli/Medium_Objects/2kettle5.png,experiment/stimuli/Small_Objects/necklace/1necklace6.png,#a57f97
1.25,0.5,0.9,1.6,0.9,0.3,50,51,52,53,Different,Same,2,Navy,Orange,Black,RED,1,Change,4,2,right,"[2.5, 0]","[-2.5, 0]",5,180,0,No_Match,Small,left,0.4,0.9,False,32,experiment/stimuli/Small_Objects/necklace/1necklace6.png,experiment/stimuli/Medium_Objects/2tennisracquet6.png,experiment/stimuli/Small_Objects/necklace/1necklace4.png,#a57f97
1.25,0.5,0.9,1.6,0.9,0.3,50,51,52,53,Different,Same,2,Navy,Orange,Black,RED,1,Change,5,3,right,"[2.5, 0]","[-2.5, 0]",5,180,0,No_Match,Small,left,0.35,0.9,False,33,experiment/stimuli/Small_Objects/necklace/1necklace6.png,experiment/stimuli/Medium_Objects/2greenplant2.png,experiment/stimuli/Small_Objects/necklace/1necklace9.png,#a57f97
1.25,0.5,0.9,1.6,0.9,0.3,50,51,52,53,Different,Same,2,Navy,Orange,Black,RED,1,Change,6,4,right,"[2.5, 0]","[-2.5, 0]",5,180,0,Match,Small,right,0.516666666666667,1.06666666666667,False,34,experiment/stimuli/Small_Objects/necklace/1necklace6.png,experiment/stimuli/Medium_Objects/2cooler1(1).png,experiment/stimuli/Small_Objects/necklace/1necklace6.png,#a57f97
1.25,0.5,0.9,1.6,0.9,0.3,50,51,52,53,Different,Same,2,Navy,Orange,Brown,GREEN,2,Change,1,5,right,"[2.5, 0]","[-2.5, 0]",5,180,0,Match,Small,right,0.516666666666667,0.933333333333334,False,15,experiment/stimuli/Small_Objects/necklace/1necklace6.png,experiment/stimuli/Medium_Objects/2aircompressor9.png,experiment/stimuli/Small_Objects/necklace/1necklace6.png,#87ae74
1.25,0.5,0.9,1.6,0.9,0.3,50,51,52,53,Different,Same,2,Navy,Orange,Black,GREEN,2,Change,2,6,left,"[-2.5, 0]","[2.5, 0]",6,0,180,No_Match,Small,left,0.55,0.8,False,46,experiment/stimuli/Small_Objects/necklace/1necklace6.png,experiment/stimuli/Medium_Objects/2tong17.png,experiment/stimuli/Small_Objects/necklace/1necklace10.png,#87ae74
1.25,0.5,0.9,1.6,0.9,0.3,50,51,52,53,Different,Same,3,Navy,Orange,Black,GREEN,2,No Change,3,1,left,"[-2.5, 0]","[2.5, 0]",6,0,180,No_Match,Small,left,0.666666666666667,1.05,False,41,experiment/stimuli/Small_Objects/button/1button9.png,experiment/stimuli/Medium_Objects/2microwave2(1).png,experiment/stimuli/Small_Objects/button/1button8.png,#87ae74
1.25,0.5,0.9,1.6,0.9,0.3,50,51,52,53,Different,Same,3,Navy,Orange,Black,GREEN,2,No Change,4,2,left,"[-2.5, 0]","[2.5, 0]",6,0,180,No_Match,Small,left,0.3,0.833333333333333,False,42,experiment/stimuli/Small_Objects/button/1button9.png,experiment/stimuli/Medium_Objects/2wallsconce4.png,experiment/stimuli/Small_Objects/button/1button3.png,#87ae74
1.25,0.5,0.9,1.6,0.9,0.3,50,51,52,53,Different,Same,3,Navy,Orange,Black,GREEN,2,No Change,5,3,left,"[-2.5, 0]","[2.5, 0]",6,0,180,Match,Small,right,0.683333333333333,1.08333333333333,False,43,experiment/stimuli/Small_Objects/button/1button9.png,experiment/stimuli/Medium_Objects/2bucket15.png,experiment/stimuli/Small_Objects/button/1button9.png,#87ae74
