verbalcue_display_duration,target_display_duration,record_interval_duration,probe_display_duration,response_screen_duration,feedback_duration,recording_trigger,response_trigger,feedback_trigger,iti_trigger,option1_txt,option2_txt,mb_no,valid_color,invalid_color,verbal_cue_color,task_type_text,verbal_trigger,mb_type,task_repeat,target_repeat,cue_location,target_loc,non_target_loc,cue_loc_trigger,cue_orientation_invalid,cue_orientation_valid,match_nomatch,object_size,CorrAns,iti_jitter,loc_jitter,panic_allowed,memory_trigger,target_img,non_target_img,probe_display,context_c
1.25,0.5,0.9,1.6,0.9,0.3,50,51,52,53,Same,Different,1,Navy,Orange,Brown,RED,1,No Change,1,1,left,"[-2.5, 0]","[2.5, 0]",6,0,180,Match,Small,left,0.683333333333333,0.966666666666667,False,21,experiment/stimuli/Small_Objects/mp3player/1mp3player5.png,experiment/stimuli/Medium_Objects/2orifan14.png,experiment/stimuli/Small_Objects/mp3player/1mp3player5.png,#a57f97
1.25,0.5,0.9,1.6,0.9,0.3,50,51,52,53,Same,Different,1,Navy,Orange,Black,RED,1,No Change,2,2,left,"[-2.5, 0]","[2.5, 0]",6,0,180,Match,Small,left,0.366666666666667,1.2,False,42,experiment/stimuli/Small_Objects/mp3player/1mp3player5.png,experiment/stimuli/Medium_Objects/2dvdplayer8.png,experiment/stimuli/Small_Objects/mp3player/1mp3player5.png,#a57f97
1.25,0.5,0.9,1.6,0.9,0.3,50,51,52,53,Same,Different,1,Navy,Orange,Black,RED,1,No Change,3,3,left,"[-2.5, 0]","[2.5, 0]",6,0,180,Match,Small,left,0.466666666666667,0.966666666666667,False,43,experiment/stimuli/Small_Objects/mp3player/1mp3player5.png,experiment/stimuli/Medium_Objects/2abacus4.png,experiment/stimuli/Small_Objects/mp3player/1mp3player5.png,#a57f97
1.25,0.5,0.9,1.6,0.9,0.3,50,51,52,53,Same,Different,1,Navy,Orange,Black,RED,1,No Change,4,4,right,"[2.5, 0]","[-2.5, 0]",5,180,0,Match,Small,left,0.633333333333333,1.06666666666667,False,34,experiment/stimuli/Small_Objects/mp3player/1mp3player5.png,experiment/stimuli/Medium_Objects/2trophy1.png,experiment/stimuli/Small_Objects/mp3player/1mp3player5.png,#a57f97
1.25,0.5,0.9,1.6,0.9,0.3,50,51,52,53,Same,Different,1,Navy,Orange,Black,RED,1,No Change,5,5,right,"[2.5, 0]","[-2.5, 0]",5,180,0,Match,Small,left,0.366666666666667,0.816666666666667,False,35,experiment/stimuli/Small_Objects/mp3player/1mp3player5.png,experiment/stimuli/Medium_Objects/2ball14.png,experiment/stimuli/Small_Objects/mp3player/1mp3player5.png,#a57f97
1.25,0.5,0.9,1.6,0.9,0.3,50,51,52,53,Same,Different,1,Navy,Orange,Black,RED,1,No Change,6,6,right,"[2.5, 0]","[-2.5, 0]",5,180,0,No_Match,Small,right,0.5,1.13333333333333,True,36,experiment/stimuli/Small_Objects/mp3player/1mp3player5.png,experiment/stimuli/Medium_Objects/2toothpaste15.png,experiment/stimuli/Small_Objects/mp3player/1mp3player7.png,#a57f97
1.25,0.5,0.9,1.6,0.9,0.3,50,51,52,53,Same,Different,2,Navy,Orange,Brown,GREEN,2,Change,1,1,left,"[-2.5, 0]","[2.5, 0]",6,0,180,Match,Big,left,0.55,1.16666666666667,False,21,experiment/stimuli/Big_Objects/komodo/3komodo1.png,experiment/stimuli/Medium_Objects/2lamp8.png,experiment/stimuli/Big_Objects/komodo/3komodo1.png,#87ae74
1.25,0.5,0.9,1.6,0.9,0.3,50,51,52,53,Same,Different,2,Navy,Orange,Black,GREEN,2,Change,2,2,left,"[-2.5, 0]","[2.5, 0]",6,0,180,Match,Big,left,0.5,0.8,False,42,experiment/stimuli/Big_Objects/komodo/3komodo1.png,experiment/stimuli/Medium_Objects/2cushion11.png,experiment/stimuli/Big_Objects/komodo/3komodo1.png,#87ae74
1.25,0.5,0.9,1.6,0.9,0.3,50,51,52,53,Same,Different,2,Navy,Orange,Black,GREEN,2,Change,3,3,left,"[-2.5, 0]","[2.5, 0]",6,0,180,No_Match,Big,right,0.616666666666667,1.15,False,43,experiment/stimuli/Big_Objects/komodo/3komodo1.png,experiment/stimuli/Medium_Objects/2radio1.png,experiment/stimuli/Big_Objects/komodo/3komodo8.png,#87ae74
1.25,0.5,0.9,1.6,0.9,0.3,50,51,52,53,Same,Different,2,Navy,Orange,Black,GREEN,2,Change,4,4,left,"[-2.5, 0]","[2.5, 0]",6,0,180,No_Match,Big,right,0.316666666666667,0.950000000000001,False,44,experiment/stimuli/Big_Objects/komodo/3komodo1.png,experiment/stimuli/Medium_Objects/2keyboard11.png,experiment/stimuli/Big_Objects/komodo/3komodo11.png,#87ae74
1.25,0.5,0.9,1.6,0.9,0.3,50,51,52,53,Same,Different,2,Navy,Orange,Brown,RED,1,Change,1,5,right,"[2.5, 0]","[-2.5, 0]",5,180,0,Match,Big,left,0.583333333333333,0.85,False,15,experiment/stimuli/Big_Objects/komodo/3komodo1.png,experiment/stimuli/Medium_Objects/2recordplayer12.png,experiment/stimuli/Big_Objects/komodo/3komodo1.png,#a57f97
1.25,0.5,0.9,1.6,0.9,0.3,50,51,52,53,Same,Different,2,Navy,Orange,Black,RED,1,Change,2,6,left,"[-2.5, 0]","[2.5, 0]",6,0,180,Match,Big,left,0.65,0.983333333333334,True,46,experiment/stimuli/Big_Objects/komodo/3komodo1.png,experiment/stimuli/Medium_Objects/2jacket4.png,experiment/stimuli/Big_Objects/komodo/3komodo1.png,#a57f97
1.25,0.5,0.9,1.6,0.9,0.3,50,51,52,53,Same,Different,3,Navy,Orange,Brown,GREEN,2,Change,1,1,right,"[2.5, 0]","[-2.5, 0]",5,180,0,Match,Small,left,0.683333333333333,1.16666666666667,False,11,experiment/stimuli/Small_Objects/piano/3piano2.png,experiment/stimuli/Medium_Objects/2juice11.png,experiment/stimuli/Small_Objects/piano/3piano2.png,#87ae74
1.25,0.5,0.9,1.6,0.9,0.3,50,51,52,53,Same,Different,3,Navy,Orange,Black,GREEN,2,Change,2,2,right,"[2.5, 0]","[-2.5, 0]",5,180,0,Match,Small,left,0.416666666666667,1.05,False,32,experiment/stimuli/Small_Objects/piano/3piano2.png,experiment/stimuli/Medium_Objects/2ringbinder6.png,experiment/stimuli/Small_Objects/piano/3piano2.png,#87ae74
1.25,0.5,0.9,1.6,0.9,0.3,50,51,52,53,Same,Different,3,Navy,Orange,Black,GREEN,2,Change,3,3,right,"[2.5, 0]","[-2.5, 0]",5,180,0,Match,Small,left,0.333333333333333,0.883333333333334,False,33,experiment/stimuli/Small_Objects/piano/3piano2.png,experiment/stimuli/Medium_Objects/2cookingpan12.png,experiment/stimuli/Small_Objects/piano/3piano2.png,#87ae74
1.25,0.5,0.9,1.6,0.9,0.3,50,51,52,53,Same,Different,3,Navy,Orange,Black,GREEN,2,Change,4,4,right,"[2.5, 0]","[-2.5, 0]",5,180,0,No_Match,Small,right,0.566666666666667,1.2,False,34,experiment/stimuli/Small_Objects/piano/3piano2.png,experiment/stimuli/Medium_Objects/2toothpaste16.png,experiment/stimuli/Small_Objects/piano/3piano9.png,#87ae74
1.25,0.5,0.9,1.6,0.9,0.3,50,51,52,53,Same,Different,3,Navy,Orange,Brown,RED,1,Change,1,5,right,"[2.5, 0]","[-2.5, 0]",5,180,0,Match,Small,left,0.333333333333333,1.01666666666667,False,15,experiment/stimuli/Small_Objects/piano/3piano2.png,experiment/stimuli/Medium_Objects/2short1.png,experiment/stimuli/Small_Objects/piano/3piano2.png,#a57f97
1.25,0.5,0.9,1.6,0.9,0.3,50,51,52,53,Same,Different,3,Navy,Orange,Black,RED,1,Change,2,6,right,"[2.5, 0]","[-2.5, 0]",5,180,0,Match,Small,left,0.45,1.1,True,36,experiment/stimuli/Small_Objects/piano/3piano2.png,experiment/stimuli/Medium_Objects/2hanger11.png,experiment/stimuli/Small_Objects/piano/3piano2.png,#a57f97
1.25,0.5,0.9,1.6,0.9,0.3,50,51,52,53,Same,Different,4,Navy,Orange,Brown,GREEN,2,Change,1,1,left,"[-2.5, 0]","[2.5, 0]",6,0,180,No_Match,Big,right,0.65,1.08333333333333,False,21,experiment/stimuli/Big_Objects/caterpillar/3caterpillar2.png,experiment/stimuli/Medium_Objects/2windchime13.png,experiment/stimuli/Big_Objects/caterpillar/3caterpillar5.png,#87ae74
1.25,0.5,0.9,1.6,0.9,0.3,50,51,52,53,Same,Different,4,Navy,Orange,Black,GREEN,2,Change,2,2,right,"[2.5, 0]","[-2.5, 0]",5,180,0,No_Match,Big,right,0.616666666666667,1.18333333333333,False,32,experiment/stimuli/Big_Objects/caterpillar/3caterpillar2.png,experiment/stimuli/Medium_Objects/2laundrybasket1.png,experiment/stimuli/Big_Objects/caterpillar/3caterpillar10.png,#87ae74
1.25,0.5,0.9,1.6,0.9,0.3,50,51,52,53,Same,Different,4,Navy,Orange,Black,GREEN,2,Change,3,3,left,"[-2.5, 0]","[2.5, 0]",6,0,180,No_Match,Big,right,0.55,1.01666666666667,False,43,experiment/stimuli/Big_Objects/caterpillar/3caterpillar2.png,experiment/stimuli/Medium_Objects/2bearteddy1.png,experiment/stimuli/Big_Objects/caterpillar/3caterpillar12.png,#87ae74
1.25,0.5,0.9,1.6,0.9,0.3,50,51,52,53,Same,Different,4,Navy,Orange,Black,GREEN,2,Change,4,4,left,"[-2.5, 0]","[2.5, 0]",6,0,180,Match,Big,left,0.483333333333333,1.16666666666667,False,44,experiment/stimuli/Big_Objects/caterpillar/3caterpillar2.png,experiment/stimuli/Medium_Objects/2trumpet13.png,experiment/stimuli/Big_Objects/caterpillar/3caterpillar2.png,#87ae74
1.25,0.5,0.9,1.6,0.9,0.3,50,51,52,53,Same,Different,4,Navy,Orange,Brown,RED,1,Change,1,5,left,"[-2.5, 0]","[2.5, 0]",6,0,180,Match,Big,left,0.516666666666667,1.18333333333333,False,25,experiment/stimuli/Big_Objects/caterpillar/3caterpillar2.png,experiment/stimuli/Medium_Objects/2stool1.png,experiment/stimuli/Big_Objects/caterpillar/3caterpillar2.png,#a57f97
1.25,0.5,0.9,1.6,0.9,0.3,50,51,52,53,Same,Different,4,Navy,Orange,Black,RED,1,Change,2,6,right,"[2.5, 0]","[-2.5, 0]",5,180,0,Match,Big,left,0.5,0.833333333333333,True,36,experiment/stimuli/Big_Objects/caterpillar/3caterpillar2.png,experiment/stimuli/Medium_Objects/2cat12.png,experiment/stimuli/Big_Objects/caterpillar/3caterpillar2.png,#a57f97
1.25,0.5,0.9,1.6,0.9,0.3,50,51,52,53,Same,Different,5,Navy,Orange,Brown,GREEN,2,Change,1,1,right,"[2.5, 0]","[-2.5, 0]",5,180,0,No_Match,Big,right,0.666666666666667,0.966666666666667,False,11,experiment/stimuli/Big_Objects/crab/3crab2.png,experiment/stimuli/Medium_Objects/2typewriter6.png,experiment/stimuli/Big_Objects/crab/3crab5.png,#87ae74
1.25,0.5,0.9,1.6,0.9,0.3,50,51,52,53,Same,Different,5,Navy,Orange,Black,GREEN,2,Change,2,2,left,"[-2.5, 0]","[2.5, 0]",6,0,180,No_Match,Big,right,0.483333333333333,1.01666666666667,False,42,experiment/stimuli/Big_Objects/crab/3crab2.png,experiment/stimuli/Medium_Objects/2curlingiron5.png,experiment/stimuli/Big_Objects/crab/3crab9.png,#87ae74
